,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
12,152,DXC,7.97B,,0.03,0.13,0.01,1.1,1.1,0.89,1.04,0.21,0.02,0.04,32.61,0,2113281
13,153,DXCM,44.14B,,0.03,0.08,0.06,5.1,4.6,0.78,0.78,0.7,0.11,0.06,454.73,0.04,795448
14,154,EA,35.20B,0.01,0.05,0.08,0.09,1.2,1.2,0.25,0,0.73,0.14,0.1,125.18,0.01,1296930
15,155,EBAY,32.71B,0.01,0.52,1.46,0.15,2,2,0.79,0.93,0.75,0.28,,55.67,0.02,5770282
16,156,ECL,49.23B,0.01,0.06,0.17,0.08,1.3,0.9,1.16,1.21,0.41,0.12,0.09,171.67,0.01,2657161
17,157,ED,31.87B,0.03,0.02,0.07,0.05,1,0.9,1.13,1.22,0.82,0.17,0.1,90.01,0,1913416
18,158,EFX,29.23B,0.01,0.07,0.21,0.11,0.5,0.5,1.25,1.48,0.6,0.23,0.15,239.42,0.02,778447
19,159,EIX,25.20B,0.04,0.01,0.05,0.04,0.6,0.6,1.74,1.98,0.63,0.1,0.05,66.19,0,1408383
20,160,EL,97.70B,0.01,0.15,0.55,0.19,1.7,1.3,0.85,0.89,0.76,0.18,0.18,272.39,0.01,1687197
1,161,EMN,13.84B,0.03,0.05,0.14,0.1,1.6,1.1,0.77,0.9,0.24,0.12,0.08,107.29,0,1999574
2,162,EMR,56.72B,0.02,0.11,0.29,0.15,2,1.6,0.85,0.85,0.41,0.17,0.15,95.49,0.02,3642328
3,163,ENPH,24.22B,,0.07,0.24,0.13,3.3,3.2,2.21,2.41,0.4,0.12,0.11,180.85,0.02,2311906
4,164,EOG,69.00B,0.03,0.13,0.22,0.18,2.1,2,0.23,0.23,0.64,0.33,0.25,117.87,0.04,4229097
5,165,EPAM,15.54B,,0.15,0.21,0.19,3,3,0.01,0.02,0.34,0.14,0.13,273.19,0.03,1482802
6,166,EQIX,65.31B,0.02,0.02,0.05,0.04,1.8,1.8,1.25,1.26,0.48,0.15,0.08,719.86,0.02,312067
7,167,EQR,33.58B,0.03,0.07,0.13,0.09,,,0.74,0.76,0.62,0.68,0.54,89.32,0.01,1115679
8,168,ES,29.02B,0.03,0.03,0.09,0.05,0.6,0.5,1.2,1.39,,0.2,0.12,84.26,0,2012612
9,169,ESS,22.37B,0.02,0.04,0.08,,,,1.05,1.05,0.69,0.36,0.34,342.74,0,384983
10,170,ETN,61.69B,0.02,0.06,0.14,0.09,1,0.6,0.42,0.52,0.32,0.16,0.11,154.69,0.01,1389476
11,171,ETR,22.41B,0.04,0.02,0.1,0.04,0.6,0.4,2.13,2.33,0.88,0.16,0.1,110.39,0,1402630
12,172,ETSY,18.00B,,0.15,0.83,0.16,2.2,2.2,3.8,3.8,0.72,0.2,0.21,141.68,0.06,2581839
13,173,EVRG,14.91B,0.04,0.03,0.1,0.06,0.6,0.4,1.01,1.21,,0.24,0.16,65,0,1309711
14,174,EW,70.14B,,0.19,0.28,0.23,3.1,2.4,0.1,0.1,0.76,0.32,0.29,112.54,0.03,1951221
15,175,EXC,42.59B,0.03,0.01,0.05,0.03,0.9,0.8,1.04,1.23,0.55,0.08,0.05,43.45,0,7306910
16,176,EXPD,17.93B,0.01,0.17,0.33,0.2,1.9,1.9,0,0,0.27,0.08,0.06,105.87,0.03,1493526
17,177,EXPE,29.90B,,0.01,0.18,0.04,0.9,0.9,3.75,4.11,0.82,0.04,0.03,192,0,1979997
18,178,EXR,26.30B,0.03,0.09,0.28,0.11,,,1.91,1.91,0.75,0.62,0.52,196.03,0.01,759429
19,179,F,66.39B,0.02,0.07,0.47,0.02,1.2,1.1,1.82,2.85,0.12,0.02,0.13,16.58,0,57929191
20,180,FANG,23.75B,0.01,0.1,0.19,0.18,1,1,0.55,0.55,0.81,0.58,0.32,133.88,0.07,3421705
1,181,FAST,32.89B,0.02,0.22,0.32,0.27,4.2,2,0.11,0.13,0.46,0.2,0.15,57.14,0.02,3345372
2,182,FB,565.73B,,0.24,0.3,0.31,3.2,3.2,0,0,0.81,0.4,0.33,207.84,0.02,29410865
3,183,FBHS,11.58B,0.01,0.1,0.26,0.15,1.4,0.8,0.75,0.88,0.36,0.14,0.1,86.29,0.01,742626
4,184,FCX,70.69B,0.01,0.09,0.34,0.26,2.5,1.8,0.65,0.68,0.39,0.37,0.19,48.59,0.05,17983458
5,185,FDS,16.15B,0.01,0.18,0.39,0.26,3.5,3.5,0.52,0.52,0.51,0.29,0.25,427.14,0.02,230431
6,186,FDX,60.41B,0.01,0.06,0.21,0.08,1.5,1.5,0.82,0.82,0.7,0.06,0.06,227.98,0.01,5279494
7,187,FE,25.12B,0.04,0.03,0.17,0.06,0.7,0.7,2.56,2.75,0.73,0.19,0.12,44.05,0,4743057
8,188,FFIV,12.18B,,0.07,0.15,0.12,1.2,1.2,0.14,0.15,0.81,0.15,0.13,200.45,0.02,313011
9,189,FIS,58.03B,0.02,0.01,0.01,0.01,0.7,0.7,0.31,0.43,0.37,0.05,0.03,95.2,0,2970419
10,190,FISV,65.25B,,0.02,0.04,0.04,1,1,0.67,0.69,0.5,0.14,0.08,100.04,0.02,3243135
11,191,FITB,32.06B,0.03,0.01,0.13,0.15,,,0.59,0.59,,0.99,0.51,46.75,0.02,8776724
12,192,FLT,18.45B,,0.07,0.26,0.11,1,1,1.56,2.09,,0.43,0.3,236.82,0,353144
13,193,FMC,16.30B,0.02,0.07,0.24,0.15,1.4,1,0.9,1.05,0.43,0.21,0.15,129.64,0.03,1064970
14,194,FOX,21.75B,0.01,,,,,,,,,,,37.05,0.01,1032913
15,195,FOXA,21.88B,0.01,0.06,0.13,0.12,3,2.6,0.64,0.71,0.36,0.19,0.11,40.28,0.01,4949954
16,196,FRC,30.34B,0.01,0.01,0.12,0.26,,,0.14,0.14,,0.93,0.31,168.93,0,884653
17,197,FRT,9.25B,0.04,0.03,0.11,0.06,,,1.7,1.7,0.67,0.42,0.27,117.63,0,390121
18,198,FTI,3.33B,,0,0,0.03,1.4,1.1,0.52,0.6,0.13,0,0,7.39,0.05,9666671
19,199,FTNT,48.81B,,0.11,0.62,0.36,1.6,1.5,1.26,0,0.77,0.2,0.18,303.48,0.02,1623399
20,200,FTV,21.90B,0,0.04,0.06,0.05,0.7,0.5,0.19,0.42,0.57,0.15,0.11,61,0.02,3544060
1,201,GD,64.01B,0.02,0.06,0.2,0.12,1.4,1,0.61,0.67,0.17,0.11,0.09,230.51,0.01,1712210
2,202,GE,105.02B,0,0.03,0.19,0.06,1.3,1,0.76,0.87,0.25,0.06,0.09,95.53,0.01,4348700
3,203,GILD,74.23B,0.05,0.09,0.31,0.16,1.3,1.1,1.2,1.27,0.76,0.36,0.23,59.2,0.02,12446341
4,204,GIS,38.13B,0.03,0.07,0.24,0.12,0.8,0.6,1.15,1.33,0.34,0.17,0.12,63.22,0.01,3712089
5,205,GL,9.80B,0.01,0.03,0.09,0.08,,,0.18,0.23,,0.19,0.15,98.62,0.01,630069
6,206,GLW,31.89B,0.03,0.04,0.09,0.08,1.6,1.1,0.57,0.57,0.36,0.15,0.08,37.7,0.01,4915114
7,207,GM,63.44B,,0.04,0.18,0.04,1.1,0.9,1.27,1.83,0.14,0.07,0.08,43.66,0,13793881
8,208,GNRC,19.76B,,0.14,0.31,0.18,1.6,0.7,0.41,0.44,0.36,0.19,0.15,309.84,0.01,526650
