,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
7,307,MMC,80.84B,0.01,0.1,0.31,0.15,1.2,1.2,0.99,0.99,,0.22,0.16,160.79,0.02,2487677
8,308,MMM,84.35B,0.04,0.12,0.41,0.19,1.7,1.2,1.07,1.15,0.47,0.21,0.17,147.69,0.02,2785896
9,309,MNST,41.44B,,0.19,0.23,0.21,4.9,4.2,0,0,0.56,0.32,0.25,78.28,0.01,2263424
10,310,MO,93.93B,0.07,0.06,2.99,0.36,0.7,0.6,,,0.54,0.41,0.1,51.69,0.01,7788842
11,311,MOH,19.70B,,0.06,0.27,0.16,1.4,1.4,0.91,0,0.15,0.04,0.02,337.41,0.02,421383
12,312,MOS,22.50B,0.01,0.08,0.16,0.13,1.1,0.5,0.32,0.4,0.26,0.2,0.13,61.1,0.06,11627763
13,313,MPC,43.61B,0.03,0.11,0.37,0.08,1.7,1.3,0.95,0.97,0.09,0.03,0.08,77.15,0.03,7020831
14,314,MRK,199.54B,0.04,0.14,0.39,0.16,1.3,1,0.8,0.87,0.73,0.26,0.27,78.94,0.01,10247822
15,315,MRNA,67.81B,,0.66,1.4,0.82,1.8,1.6,0.04,0.05,0.86,0.72,0.66,168.26,0.01,7712544
16,316,MRO,16.86B,0.01,0.05,0.09,0.08,1.1,1.1,0.37,0.38,0.9,0.22,0.17,23.07,0.07,22927276
17,317,MS,167.19B,0.03,0.01,0.15,0.02,,,2.33,6.71,0.92,0.32,0.24,93.86,0.02,15133241
18,318,MSCI,40.51B,0.01,0.15,2.25,0.23,1.7,1.7,,,0.82,0.51,0.36,498.44,0.01,415778
19,319,MSFT,2213.23B,0.01,0.22,0.48,0.28,2.2,2.2,0.38,0.42,0.69,0.43,0.39,295.22,0,30764446
20,320,MSI,38.82B,0.01,0.11,4.3,0.24,1.3,1.1,,,0.49,0.2,0.15,230.78,0.02,935383
1,321,MTB,23.11B,0.03,0.01,0.11,0.16,,,0.22,0.22,,0.97,0.45,179.07,0.01,848400
2,322,MTCH,27.16B,,0.06,0.68,0.12,1,1,,,0.72,0.29,0.09,95.26,0.03,2771803
3,323,MTD,31.69B,,0.24,4.25,0.42,1.1,0.7,9.22,9.81,0.58,0.26,0.21,1389.13,0.02,104439
4,324,MU,90.16B,0,0.13,0.17,0.12,3.1,2.4,0.15,0.15,0.42,0.27,0.25,80.52,0.01,21389971
5,325,NCLH,8.21B,,0.24,1.34,0.27,0.9,0.9,4.76,5.12,,,,19.69,0.02,23780704
6,326,NDAQ,28.95B,0.01,0.06,0.18,0.1,0.9,0.9,0.75,0.91,0.58,0.26,0.2,176.1,0.02,512671
7,327,NDSN,13.13B,0.01,0.13,0.24,0.17,2.5,1.6,0.36,0.37,0.56,0.27,0.2,226.56,0.02,221610
8,328,NEE,162.30B,0.02,0.03,0.1,0.03,0.5,0.4,1.37,1.47,,0.17,0.21,82.69,0,6339564
9,329,NEM,58.10B,0.03,0.03,0.05,0.01,2.9,2.2,0.28,0.29,0.56,0.1,0.1,73.31,0.01,8207997
10,330,NFLX,164.89B,,0.12,0.35,0.17,1,1,0.93,0.97,0.46,0.21,0.17,371.4,0.04,5721560
11,331,NI,12.22B,0.03,0.02,0.11,0.06,0.7,0.5,1.7,1.81,0.72,0.21,0.11,30.14,0,3781865
12,332,NKE,201.47B,0.01,0.16,0.46,0.27,3.1,2.3,0.63,0.63,0.46,0.16,0.13,127.41,0.02,6836392
13,333,NLOK,15.10B,0.02,0.14,2.74,0.24,0.7,0.7,,,0.85,0.41,0.33,25.93,0.01,12039147
14,334,NLSN,8.60B,0.01,0.09,0.31,0.1,1.7,1.7,1.69,1.7,0.65,0.25,0.28,23.92,0.02,6658292
15,335,NOC,66.94B,0.01,0.17,0.61,0.14,1.3,1.2,0.99,0.99,0.2,0.16,0.2,428.8,0.01,977651
16,336,NOW,113.34B,,0.02,0.07,0.05,1.1,1.1,0.4,0.43,0.77,0.04,0.04,566.68,0.04,1279584
17,337,NRG,9.37B,0.03,0.1,0.75,0.22,1.4,1.3,2.21,2.21,0.24,0.12,0.08,38.68,0.01,2514823
18,338,NSC,65.79B,0.02,0.08,0.21,0.13,0.9,0.8,0.97,1.01,0.53,0.4,0.27,274.39,0,1103416
19,339,NTAP,19.23B,0.02,0.11,1.33,0.24,1.6,1.5,2.7,2.99,0.67,0.21,0.16,86.41,0.02,1740253
20,340,NTRS,24.05B,0.02,0.01,0.14,0.01,,,0.33,15.06,,0.31,0.23,115.68,0,723840
1,341,NUE,36.31B,0.01,0.29,0.53,0.36,2.5,1.3,0.35,0.41,0.3,0.25,0.19,134.93,0,3988132
2,342,NVDA,619.15B,0,0.2,0.35,0.12,7.1,6.5,0.46,0.46,0.65,0.27,0.26,247.66,0.01,47058897
3,343,NVR,16.65B,,0.21,0.41,0.29,,,0.51,0.51,0.25,0.18,0.14,4924.93,0.01,14574
4,344,NWL,9.66B,0.04,0.04,0.14,0.09,1.3,0.7,1.19,1.19,0.31,0.09,0.05,22.7,0.01,1813087
5,345,NWS,13.38B,0.01,,,,,,,,,,,22.75,0.03,469221
6,346,NWSA,13.31B,0.01,0.03,0.06,0.04,1.4,1.3,0.23,0.27,0.5,0.07,0.05,22.42,0.04,3128459
7,347,NXPI,49.82B,0.01,0.09,0.26,0.13,2.1,1.6,1.62,0,0.55,0.23,0.17,189.77,0.01,1394921
8,348,O,39.32B,0.04,0.01,0.02,0.01,,,0.62,0.62,0.94,0.16,0.17,66.49,0.01,3677626
9,349,ODFL,37.07B,0,0.23,0.3,0.28,3,3,0.03,0,0.89,0.27,0.2,322.78,0,467484
10,350,OGN,8.71B,0.03,,,0.32,1.4,1.1,,,0.63,0.32,0.28,34.34,0.04,2647323
11,351,OKE,29.83B,0.06,0.06,0.25,0.11,0.7,0.6,2.12,2.27,0.26,0.16,0.09,66.86,0.03,2923771
12,352,OMC,17.71B,0.03,0.05,0.43,0.18,1,1,1.74,1.74,0.27,0.15,0.1,84.74,0.01,2060498
13,353,ORCL,220.34B,0.02,0.12,,0.18,1.6,,,,0.79,0.37,0.33,80.6,0.01,10401793
14,354,ORLY,46.71B,,0.18,,0.61,0.8,0.1,,,0.53,0.22,0.16,701.32,0,477548
15,355,OTIS,32.46B,0.01,0.11,0.33,0.43,1.3,1.2,,,0.29,0.15,0.09,76.39,0.01,1857720
16,356,OXY,54.18B,0,0.02,0.17,0.09,1.2,1,2.79,2.8,0.63,0.17,0.06,58.01,0.09,59120035
17,357,PARA,24.05B,0.03,0.08,0.22,0.14,1.8,1.6,0.79,0.79,0.38,0.22,0.16,36.87,0.02,9878172
18,358,PAYC,20.66B,,0.06,0.24,0.21,1.1,1.1,0.03,0.03,0.85,0.24,0.19,343.11,0.05,618238
19,359,PAYX,45.32B,0.02,0.14,0.42,0.3,1.3,1.3,0.26,0.26,,0.39,0.3,125.62,0.01,1413724
20,360,PBCT,9.06B,0.03,0.01,0.08,0.16,,,0.13,0.13,,0.94,0.37,21.09,0.01,3547983
1,361,PCAR,31.38B,0.02,0.07,0.17,0.09,4.1,3.8,0.91,0.91,0.19,0.1,0.08,90.27,0,1811390
2,362,PEAK,17.94B,0.04,0.03,0.08,0.01,,,0.95,0.95,0.6,0.05,0.27,33.26,0,4369177
3,363,PEG,34.02B,0.03,0.01,0.04,0.02,0.9,0.8,1.05,1.35,,0.12,0.07,67.75,0,3415136
4,364,PENN,7.56B,,0.03,0.13,0.08,2,2,1.72,1.76,0.47,0.18,0.07,44.91,0,4550336
5,365,PEP,222.65B,0.03,0.08,0.5,0.16,0.8,0.7,2.25,2.51,0.53,0.14,0.1,160.94,0.01,3585323
6,366,PFE,305.01B,0.03,0.13,0.3,0.19,1.4,1.2,0.47,0.5,0.62,0.29,0.27,54.24,0.02,30550904
7,367,PFG,18.30B,0.04,0.01,0.11,0.09,,,0.27,0.27,,0.15,0.12,70.04,0.01,1362492
8,368,PG,360.11B,0.02,0.12,0.32,0.18,0.7,0.5,0.51,0.81,0.49,0.22,0.18,150.23,0,5998411
9,369,PGR,64.05B,0,0.05,0.19,0.16,,,0.28,0.28,,0.09,0.07,109.52,0.03,2260726
10,370,PH,37.11B,0.01,0.09,0.22,0.13,1.5,1.1,0.71,0.97,0.28,0.17,0.12,288.86,0.01,462941
11,371,PHM,11.77B,0.01,0.16,0.27,0.19,,,0.27,0.35,0.27,0.18,0.14,47.35,0.02,2129970
12,372,PKG,14.61B,0.03,0.11,0.24,0.15,3.1,2.1,0.69,0.69,0.24,0.15,0.11,156.26,0.01,536875
13,373,PKI,22.50B,0,0.08,0.17,0.08,2,1.5,0.7,0.7,0.56,0.26,0.19,178.36,0.01,561856
14,374,PLD,115.93B,0.02,0.05,0.09,0.03,,,0.5,0.53,0.74,0.3,0.62,156.66,0.01,2217843
15,375,PM,144.65B,0.05,0.22,0.84,0.58,0.9,0.5,,,0.68,0.41,0.29,93.33,0,6725768
16,376,PNC,81.60B,0.03,0.01,0.1,0.12,,,0.55,0.55,,,0.49,193.07,0,2194817
17,377,PNR,9.40B,0.01,0.12,0.24,0.17,1.2,0.7,0.37,0.37,0.35,0.17,0.15,56.95,0,1787842
18,378,PNW,8.39B,0.05,0.03,0.11,0.05,0.9,0.7,1.17,1.25,,0.21,0.16,74.32,0,787188
19,379,POOL,19.09B,0.01,0.26,0.73,0.29,2.4,0.6,1.09,1.1,0.31,0.16,0.12,475.15,0.02,216155
20,380,PPG,30.39B,0.02,0.07,0.23,0.1,1.4,1,1.05,1.05,0.39,0.1,0.09,128.68,0.01,1905566
1,381,PPL,19.70B,0.03,0.04,0.11,0.04,2.2,2,0.78,0.82,0.87,0.25,0.26,26.79,0.01,7582932
2,382,PRU,43.39B,0.04,0.01,0.12,0.1,,,0.31,0.32,,0.13,0.11,115.4,0.01,1858414
3,383,PSA,64.18B,0.02,0.12,0.35,0.13,,,1.43,1.43,0.73,0.49,0.51,365.78,0.02,602187
4,384,PSX,42.86B,0.05,0.02,0.07,0.04,1.1,0.9,0.68,0.75,0.08,0.01,0.01,77.55,0.01,4836617
5,385,PTC,12.95B,,0.12,0.27,0.13,1.3,1.3,0.74,0,0.79,0.19,0.27,110.73,0.01,657610
6,386,PVH,5.73B,0,0.04,0.1,0.12,1.5,0.9,0.5,0.52,0.57,0.1,0.06,81.95,0.02,1348730
7,387,PWR,17.93B,0,0.05,0.1,0.06,1.5,1.5,0.73,0.73,0.15,0.05,0.04,125.66,0.02,763101
8,388,PXD,58.63B,0.02,0.06,0.1,0.18,1.5,1.4,0.29,0.3,0.53,0.34,0.12,241.39,0.05,2594376
9,389,PYPL,130.67B,,0.06,0.2,0.14,1.2,1.2,0.37,0.42,0.47,0.17,0.16,112.16,0.04,21916446
10,390,QCOM,172.24B,0.02,0.25,1.08,0.33,1.6,1.3,1.21,1.39,0.58,0.31,0.28,152.83,0.02,8517647
11,391,QRVO,13.97B,,0.15,0.24,0.12,3.6,2.6,0.44,0,0.49,0.27,0.25,128.81,0.01,789592
12,392,RCL,19.11B,,0.16,0.74,0.15,0.5,0.5,3.71,4.15,0.71,,,74.96,0.01,2729831
13,393,RE,11.20B,0.02,0.04,0.14,0.11,,,0.3,0,,0.14,0.12,285.18,0.01,211669
14,394,REG,11.56B,0.04,0.03,0.06,0.04,,,0.62,0.62,0.72,0.32,0.31,67.43,0.01,1023488
15,395,REGN,74.37B,,0.37,0.51,0.36,3.6,3.2,0.11,0.14,0.85,0.56,0.5,685.23,0.01,808097
16,396,RF,21.81B,0.03,0.02,0.15,0.2,,,0.14,0.14,,,0.59,23.27,0.01,7485697
17,397,RHI,13.08B,0.01,0.21,0.47,0.43,1.7,1.7,0,0,0.42,0.12,0.09,118.2,0.02,471555
18,398,RJF,21.74B,0.01,0.03,0.19,0.03,,,0.34,4.33,0.96,0.19,0.15,104.73,0.01,792178
19,399,RL,8.48B,0.02,0.06,0.18,0.02,1.9,1.5,0.55,0.74,0.67,0.12,0.08,119.22,0.05,1183478
20,400,RMD,37.91B,0.01,0.11,0.18,0.14,2.5,1.5,0.21,0.22,0.57,0.28,0.15,259.22,0.02,364145
1,401,ROK,31.49B,0.02,0.11,0.45,0.21,1.1,0.8,1.38,1.63,0.41,0.15,0.14,271,0.01,568934
2,402,ROL,16.85B,0.01,0.18,0.33,0.26,0.7,0.7,0.13,0.14,0.52,0.18,0.15,34.25,0.01,1449152
3,403,ROP,48.79B,0.01,0.05,0.1,0.06,0.8,0.7,0.62,0.69,0.68,0.26,0.2,461.98,0.02,360208
4,404,ROST,32.58B,0.01,0.1,0.36,0.03,1.8,1.3,0.62,0.63,0.28,0.1,0.07,92.21,0.01,2454624
5,405,RSG,41.62B,0.01,0.05,0.15,0.1,0.7,0.7,1.06,1.06,0.4,0.18,0.11,131.53,0.01,897089
6,406,RTX,145.88B,0.02,0.02,0.05,0.03,1.2,0.9,0.43,0.43,0.2,0.07,0.06,97.75,0.02,6531479
7,407,SBAC,35.62B,0.01,0.02,0.05,0.1,1,1,,,0.76,0.32,0.1,330.07,0.01,540931
8,408,SBNY,19.85B,0.01,0.01,0.1,0.16,,,0.07,0.07,,0.81,0.35,316.39,0.01,817816
9,409,SBUX,100.84B,0.02,0.15,0.62,0.49,0.8,0.6,,,0.29,0.2,0.15,87.66,0,8461485
10,410,SCHW,170.04B,0.01,0.01,0.12,0.01,,,0.41,10.1,0.98,0.41,0.28,89.78,0.01,6686749
11,411,SEDG,16.62B,,0.06,0.14,0.1,3.3,2.5,0.51,0,0.32,0.11,0.09,314.6,0.06,1599111
12,412,SEE,10.12B,0.01,0.08,3.55,0.16,1,0.7,12.95,14.91,0.3,0.16,0.09,68.28,0.02,673786
13,413,SHW,64.49B,0.01,0.09,0.68,0.15,0.9,0.5,3.52,3.95,0.43,0.11,0.09,247.52,0.01,1408232
14,414,SIVB,33.21B,,0.01,0.16,0.16,,,0.2,0.2,,0.93,0.54,564.73,0.01,502718
15,415,SJM,14.05B,0.03,0.04,0.07,0.09,1.2,0.6,0.52,0.53,0.35,0.12,0.07,129.58,0,551785
16,416,SLB,55.83B,0.01,0.05,0.14,0.08,1.2,0.9,0.89,0.95,0.16,0.12,0.08,39.51,0.04,37917254
17,417,SNA,11.24B,0.03,0.12,0.2,0.16,3.1,2.3,0.28,0.29,0.54,0.24,0.18,210.35,0.02,408824
18,418,SNPS,46.55B,,0.11,0.17,0.13,1.2,1.1,0,0,0.8,0.21,0.2,304.05,0.01,1150809
19,419,SO,72.53B,0.04,0.02,0.09,0.04,0.8,0.6,1.8,1.93,0.87,0.16,0.1,68.41,0,5034643
20,420,SPG,43.26B,0.05,0.07,0.7,0.08,,,7.63,7.63,0.81,0.46,0.44,131.65,0,2043798
1,421,SPGI,146.21B,0.01,0.22,1.96,0.54,2.3,2.3,2.02,2.02,0.74,0.51,0.37,402.66,0.03,2392102
2,422,SRE,49.19B,0.03,0.02,0.05,0.02,0.4,0.4,0.84,0.98,0.95,0.1,0.1,155.83,0.01,2222666
3,423,STE,23.23B,0.01,0.03,0.05,0.08,2.1,1.5,0.48,0.5,0.43,0.11,0.07,232.01,0.02,356909
4,424,STT,32.23B,0.03,0.01,0.11,0.04,,,0.53,0.53,,,,88.05,0.01,1520054
5,425,STX,20.16B,0.03,0.15,1.94,0.25,1.3,0.9,8.14,8.55,0.3,0.13,0.11,92.1,0.02,1755953
6,426,STZ,41.70B,0.01,0,0,0.09,1.5,0.8,0.9,0.92,0.53,0.25,0.01,221.77,0,646279
7,427,SWK,24.56B,0.02,0.07,0.16,0.1,1,0.4,0.4,0.6,0.34,0.12,0.11,150.29,0.01,2833328
8,428,SWKS,21.81B,0.02,0.18,0.27,0.2,4.2,3,0.41,0.41,0.48,0.29,0.27,132.96,0.01,1499732
9,429,SYF,19.52B,0.02,0.05,0.32,0.45,,,1.12,1.12,,0.89,0.27,37.45,0.01,8270920
10,430,SYK,99.67B,0.01,0.06,0.14,0.08,2.2,1.5,0.84,0.84,0.62,0.15,0.12,264,0.01,1453615
11,431,SYY,40.47B,0.02,0.04,0.54,0.11,1.3,0.8,8.68,9.08,0.18,0.03,0.01,79.75,0,2081530
12,432,T,165.64B,0.09,0.04,0.12,0.05,0.7,0.7,0.92,1.07,0.53,0.14,0.12,23.19,0,31013824
13,433,TAP,11.41B,0.01,0.04,0.08,0.06,0.8,0.5,0.5,0.53,0.39,0.14,0.1,52.39,0.01,1203151
14,434,TDG,36.77B,,0.04,0.25,0.1,5.1,4.2,,,0.55,0.38,0.15,663.02,0.01,285463
15,435,TDY,20.43B,,0.04,0.07,0.04,1.6,1.1,0.54,0.54,0.4,0.13,0.1,432.91,0.01,254524
16,436,TECH,16.96B,0,0.09,0.13,0.12,3.8,3,0.16,0.17,0.68,0.26,0.2,431.73,0.02,174589
17,437,TEL,43.19B,0.02,0.12,0.24,0.16,1.7,1,0.32,0.36,0.33,0.18,0.16,132.66,0.01,2224340
18,438,TER,19.59B,0,0.27,0.41,0.38,3.2,2.9,0.03,0.04,0.6,0.32,0.27,120.6,0.03,2125138
19,439,TFC,78.15B,0.03,0.01,0.1,0.13,,,0.56,0.56,,,0.44,58.84,0.01,9081773
20,440,TFX,16.27B,0,0.07,0.14,0.1,2.1,1.4,0.46,0.49,0.55,0.22,0.17,347.05,0.02,221340
1,441,TGT,102.02B,0.02,0.13,0.49,0.28,1,0.4,1.06,1.07,0.29,0.09,0.07,220.63,0.02,3646578
2,442,TJX,74.26B,0.02,0.08,0.41,0.03,1.3,0.7,0.52,0.52,0.29,0.07,0.05,62.25,0,8137534
3,443,TMO,223.86B,0,0.1,0.2,0.11,1.5,1.1,0.79,0.85,0.5,0.24,0.2,572.25,0.02,1326076
4,444,TMUS,161.10B,,0.02,0.05,0.04,0.9,0.8,1.05,1.15,0.57,0.09,0.04,128.95,0.01,4972722
5,445,TPR,9.88B,0.02,0.1,0.27,0.17,1.7,1.3,0.41,0.54,0.71,0.17,0.13,37.43,0.01,4040275
6,446,TRMB,17.61B,,0.07,0.13,0.09,1.2,0.9,0.33,0.33,0.56,0.15,0.14,70.1,0.03,1335428
7,447,TROW,33.53B,0.03,0.26,0.36,0.31,,,0,0,,0.48,0.39,146.99,0.01,1976394
8,448,TRV,43.72B,0.02,0.03,0.13,0.11,,,0.25,0.25,,0.14,0.1,181.03,0.01,1641159
9,449,TSCO,26.23B,0.02,0.13,0.51,0.34,1.6,0.5,0.51,0.51,0.35,0.1,0.08,232.6,0.02,733129
10,450,TSLA,875.31B,,0.1,0.21,0.16,1.4,1.1,0.17,0.23,0.25,0.12,0.1,871.6,0.04,21996504
11,451,TSN,32.11B,0.02,0.1,0.22,0.13,1.7,0.9,0.45,0.51,0.15,0.1,0.08,88.6,0.02,2608948
12,452,TT,36.77B,0.02,0.08,0.22,0.15,1.4,1,0.72,0.77,0.32,0.14,0.1,157.43,0.01,1187065
13,453,TTWO,17.26B,,0.08,0.15,0.16,1.8,1.8,0,0,0.6,0.18,0.15,149.51,0,1533998
14,454,TWTR,29.86B,,0.02,0.03,0.02,5.9,5.9,0.58,0.58,0.65,0.08,0.04,37.3,0.05,30774067
15,455,TXN,164.83B,0.03,0.35,0.66,0.37,5.3,4.6,0.54,0.58,0.68,0.49,0.42,178.47,0.01,4929572
16,456,TXT,16.25B,0,0.05,0.12,0.07,2.4,1.3,0.55,0.55,0.17,0.07,0.06,75.13,0.02,1329653
17,457,TYL,17.52B,,0.04,0.07,0.05,1.2,1.2,0.56,0.58,0.45,0.11,0.1,423.79,0.02,158643
18,458,UA,6.97B,,,,,,,,,,,,15.42,0.02,2847938
19,459,UAA,7.79B,,0.07,0.19,0.25,2.3,1.7,0.32,0,0.5,0.09,0.06,17.16,0.01,4896105
20,460,UAL,13.45B,,0.03,0.38,0.01,1.2,1.1,6.08,6.69,0.52,0.04,0.08,41.42,0.01,16951910
1,461,UDR,18.29B,0.03,0.01,0.05,0.03,,,1.53,1.59,0.65,0.18,0.11,57.47,0.01,1562832
2,462,UHS,11.15B,0.01,0.08,0.16,0.1,1.1,1,0.68,0.69,,0.11,0.08,149.09,0,660964
3,463,ULTA,20.96B,,0.14,0.38,0.12,1.7,0.6,0,0,0.39,0.11,0.08,387.31,0,703824
4,464,UNH,477.06B,0.01,0.08,0.25,0.17,,,0.59,0.64,,0.08,0.06,507.02,0.02,2355621
5,465,UNP,167.86B,0.02,0.1,0.45,0.17,0.6,0.5,1.95,2.1,0.81,0.43,0.3,263.56,0,3760149
6,466,UPS,193.51B,0.02,0.2,1.17,0.25,1.4,1.4,1.39,1.54,0.77,0.13,0.13,222.32,0.02,3509130
7,467,URI,25.11B,,0.07,0.26,0.12,0.8,0.8,1.47,1.62,0.4,0.23,0.14,346.77,0.03,907345
8,468,USB,84.13B,0.03,0.01,0.16,0.14,,,0.64,0.64,,,0.56,56.65,0.01,6937208
9,469,V,447.57B,0.01,0.16,0.38,0.22,1.4,1.4,0.53,0.63,0.8,0.66,0.5,213.45,0.01,6663488
10,470,VFC,22.26B,0.03,0.1,0.41,0.06,1.4,1,1.27,1.44,0.55,0.13,0.12,57.23,0.01,3931243
11,471,VLO,36.46B,0.04,0.02,0.05,0.06,1.3,0.9,0.68,0.75,0.03,0.02,0.01,89.09,0.05,4173008
12,472,VMC,24.31B,0.01,0.05,0.11,0.08,2.2,1.5,0.6,0.61,0.25,0.18,0.12,183.07,0.01,522587
13,473,VNO,8.71B,0.05,0.01,0.02,0.02,,,1.7,1.7,0.5,0.14,0.06,45.42,0,1484940
14,474,VRSK,32.64B,0.01,0.09,0.24,0.13,0.5,0.5,0.83,1.18,0.65,0.33,0.22,202.41,0.04,1866146
15,475,VRSN,23.43B,,0.43,0.57,1.65,1.2,1.2,,,0.86,0.65,0.59,212.66,0.03,791426
16,476,VRTX,63.65B,,0.19,0.25,0.23,4.5,4.3,0.05,0.05,0.88,0.37,0.31,250,0.01,1378221
17,477,VTR,23.67B,0.03,0,0.01,0.01,,,1.08,1.08,0.45,0.08,0.01,59.25,0.01,2154720
18,478,VTRS,12.87B,0.04,0.02,0.06,0.02,1.1,0.7,0.96,1.13,0.37,0,0.07,10.64,0.02,10919332
19,479,VZ,219.80B,0.05,0.06,0.29,0.11,0.8,0.7,1.75,1.84,0.58,0.23,0.17,52.36,0,22916116
20,480,WAB,17.46B,0.01,0.03,0.05,0.05,1.3,0.7,0.4,0.4,0.31,0.11,0.07,94.22,0.01,1024558
1,481,WAT,20.02B,,0.22,2.39,0.38,2.4,1.9,4.12,4.12,0.59,0.3,0.25,330.79,0.01,297756
2,482,WBA,40.99B,0.04,0.07,0.28,0.05,0.8,0.4,0.46,0.57,0.22,0.03,0.05,47.48,0,5732676
3,483,WDC,15.29B,,0.08,0.18,0.06,1.9,1.2,0.59,0.61,0.32,0.13,0.11,48.86,0.01,2454247
4,484,WEC,30.22B,0.03,0.03,0.12,0.06,0.7,0.5,1.24,1.43,0.6,0.2,0.16,95.79,0.01,2356644
5,485,WELL,41.16B,0.03,0.01,0.02,0.02,,,0.81,0.81,0.43,0.14,0.07,92.01,0.01,1938165
6,486,WFC,196.37B,0.02,0.01,0.12,0.11,,,0.96,0.96,,,0.51,51.48,0,29902273
7,487,WHR,11.43B,0.04,0.09,0.38,0.18,1.1,0.8,1.02,1.08,0.2,0.11,0.08,195.46,0.01,573150
8,488,WM,64.52B,0.02,0.06,0.25,0.11,0.8,0.7,1.78,1.88,0.47,0.15,0.1,155.63,0.01,1337904
9,489,WMB,38.33B,0.05,0.03,0.13,0.06,0.9,0.8,1.9,2.08,0.62,0.25,0.14,31.53,0.01,8919724
10,490,WMT,402.24B,0.02,0.04,0.13,0.06,0.9,0.3,0.49,0.52,0.25,0.03,0.02,145.01,0,6338106
11,491,WRB,16.84B,0.01,0.03,0.16,0.12,,,0.49,0.49,,0.15,0.11,95.24,0.01,803738
12,492,WRK,12.59B,0.02,0.03,0.08,0.05,1.6,0.9,0.68,0.7,0.18,0.07,0.05,47.82,0.01,3633574
13,493,WST,30.10B,0,0.22,0.32,0.25,2.9,2.3,0.09,0.11,0.42,0.27,0.23,405.24,0.02,296829
14,494,WTW,27.42B,0.01,0.11,0.35,0.11,1.3,1.3,0.3,0.35,,0.29,0.47,232.86,0.01,836137
15,495,WY,29.49B,0.02,0.15,0.26,0.19,3.3,2.7,0.47,0.47,0.4,0.36,0.26,39.51,0.01,5131705
16,496,WYNN,8.91B,,0.06,,0.03,2.2,2.2,,,0.32,0.11,0.2,76.91,0.02,2912470
17,497,XEL,37.93B,0.03,0.03,0.11,0.06,0.8,0.7,1.4,1.5,0.92,0.16,0.12,69.7,0.01,3891829
18,498,XOM,334.37B,0.04,0.07,0.14,0.07,1,0.7,0.26,0.28,0.31,0.08,0.08,78.98,0.03,33965258
19,499,XRAY,10.61B,0.01,0.05,0.08,0.07,1.5,1.1,0.38,0.42,0.56,0.15,0.1,48.76,0,2615183
20,500,XYL,15.85B,0.01,0.05,0.14,0.09,2.3,1.8,0.76,0.76,0.38,0.11,0.08,88.1,0.01,1647818
1,501,YUM,34.40B,0.02,0.27,0.2,0.71,1.1,1.1,,,0.48,0.33,0.24,119.03,0,1483028
2,502,ZBH,25.58B,0.01,0.02,0.03,0.03,1.4,0.7,0.43,0.56,0.7,0.08,0.05,122.28,0,1829936
3,503,ZBRA,22.26B,,0.15,0.31,0.21,0.9,0.7,0.31,0.33,0.47,0.17,0.15,419.35,0.04,537879
4,504,ZION,10.36B,0.02,0.01,0.15,0.27,,,0.14,0.14,,,0.48,68.34,0.01,1884326
5,505,ZTS,91.41B,0.01,0.15,0.46,0.18,3.9,2.8,1.45,1.45,0.71,0.32,0.26,193.68,0.01,2199064
