Date,Fighter,Sig. Str. Leg,Sig. Str. Leg Attempts,Opp Sig. Str. Leg,Opp Sig. Str. Leg Attempts,Sig. Str. Ground Landed,Sig. Str. Ground Attempts,Opp Sig. Str. Ground Landed,Opp Sig. Str. Ground Attempts,Total Strikes Landed,Total Strikes Attempts,Opp Total Strikes Landed,Opp Total Strikes Attempts,Total Takedowns Landed,Total Takedowns Attempts,Opp Total Takedowns Landed,Opp Total Takedowns Attempts,Submission Total Attempts,Opp Submission Total Attempts,Takedown %,Opp Takedown %,Sig. Str. Leg %,Opp Sig. Str. Leg %,Sig. Str. Ground %,Opp Sig. Str. Ground %,Total Strikes %,Opp Total Strikes %,KnockDown Total,Opp KnockDown Total,KnockDown Total Difference,Ground Time,Opp Ground Time,Standing Time,Opp Standing Time,Dominant Positions,Opp Dominant Positions,Top Strike Speed,Opp Top Strike Speed,Height,Weight,Reach,Leg Reach,Points,Inner Zone,Opp Inner Zone,Outer Zone,Opp Outer Zone,Sig. Str. Per KnockDown,Opp Sig. Str. Per KnockDown,Sig. Str. Punches Diff,Sig. Str. Diff,Sig. Str. Leg Diff,Sig. Str. Ground Diff,Odds,Total Wins,Win
8/2/2018 0:00,Yuki Kawana,2,5,14,18,2,3,37,38,24,55,64,74,1,3,6,6,0,0,0.333333333,1,0.4,0.777777778,0.666666667,0.973684211,0.436363636,0.864864865,0,0,0,66.7,66.7,7.77,7.77,0,3,0,0,"5'7""",155,0,0,0,0,0,0,0,0,0,-0.666666667,-0.428501229,-0.377777778,-0.307017544,0,0,0
8/2/2018 0:00,Rashid Magomedov,13,30,9,15,26,31,13,13,113,222,45,102,0,0,1,4,0,0,0,0.25,0.433333333,0.6,0.838709677,1,0.509009009,0.441176471,0,0,0,4.27,4.27,10.33,10.33,0,0,0,0,"5'9""",155,71,40,3,0,0,0,0,0,0,0,0.067832538,-0.166666667,-0.161290323,-675,1,1
8/2/2018 0:00,Luiz Firmino,21,27,13,30,13,13,26,31,73,155,113,222,2,7,0,0,0,0,0.285714286,0,0.777777778,0.433333333,1,0.838709677,0.470967742,0.509009009,0,0,0,13.67,13.67,15.53,15.53,1,0,0,0,"5'8""",155,0,0,0,0,0,0,0,0,0,nan,-0.038041267,0.344444444,0.161290323,450,0,0
8/2/2018 0:00,Maxim Grishin,20,22,7,8,18,20,1,1,48,63,12,27,2,3,0,0,0,0,0.666666667,0,0.909090909,0.875,0.9,1,0.761904762,0.444444444,1,0,1,7.05,7.05,8.5,8.5,1,0,0,0,"6'3""",205,76,88,11,0,0,0,0,48,0,nan,0.317460317,0.034090909,-0.1,-245,2,1
8/2/2018 0:00,Rakim Cleveland,17,20,24,26,1,1,38,45,41,71,83,118,0,0,3,4,0,0,0,0.75,0.85,0.923076923,1,0.844444444,0.577464789,0.703389831,0,0,0,6.75,6.75,8.26,8.26,0,2,0,0,"6'3""",205,77,86,4,0,0,0,0,0,0,0,-0.125925042,-0.073076923,0.155555556,185,1,0
8/2/2018 0:00,Will Brooks,43,53,19,25,18,23,0,0,69,87,46,78,8,11,2,4,0,0,0.727272727,0.5,0.811320755,0.76,0.782608696,0,0.793103448,0.58974359,0,0,0,16.78,16.78,7.42,7.42,2,0,0,0,"5'10""",155,0,0,6,0,0,0,0,0,0,0.227272727,0.203359859,0.051320755,nan,-265,2,1
8/2/2018 0:00,Robert Watley,8,17,47,60,16,18,18,23,38,58,75,107,2,2,8,12,0,0,1,0.666666667,0.470588235,0.783333333,0.888888889,0.782608696,0.655172414,0.700934579,0,0,0,10.69,10.69,8.51,8.51,0,2,0,0,"5'9""",155,0,0,5,0,0,0,0,0,0,0.333333333,-0.045762166,-0.312745098,0.106280193,205,1,0
8/2/2018 0:00,Vinny Magalhaes,5,7,0,0,32,37,0,0,42,52,6,14,2,2,1,1,0,0,1,1,0.714285714,0,0.864864865,0,0.807692308,0.428571429,0,0,0,8.5,8.5,1.06,1.06,1,0,0,0,"6'3""",205,75,88,12,0,0,0,0,0,0,0,0.379120879,nan,nan,-150,2,1
8/2/2018 0:00,Brandon Halsey,0,0,4,4,40,88,19,24,47,107,28,37,4,5,2,2,0,0,0.8,1,0,1,0.454545455,0.791666667,0.439252336,0.756756757,1,1,0,8.87,8.87,3.11,3.11,8,1,0,0,6'0,205,0,0,4,0,0,0,0,47,28,-0.2,-0.31750442,nan,-0.337121212,120,1,0
8/2/2018 0:00,Jason High,12,21,32,38,17,23,5,6,42,75,44,68,5,6,2,5,0,0,0.833333333,0.4,0.571428571,0.842105263,0.739130435,0.833333333,0.56,0.647058824,0,0,0,11.65,11.65,7.55,7.55,0,3,0,0,"5'9""",155,0,0,6,0,0,0,0,0,0,0.433333333,-0.087058824,-0.270676692,-0.094202899,200,0,0
8/2/2018 0:00,Natan Schulte,29,45,33,49,17,38,3,3,85,160,111,180,7,12,4,6,0,0,0.583333333,0.666666667,0.644444444,0.673469388,0.447368421,1,0.53125,0.616666667,0,0,0,7.63,7.63,11.57,11.57,1,0,0,0,"5'10""",155,69,80,9,0,0,0,0,0,0,-0.083333333,-0.085416667,-0.029024943,-0.552631579,-260,2,1
8/16/2018 0:00,Gasan Umalatov,23,27,19,39,2,8,3,3,61,134,53,145,1,2,2,5,0,0,0.5,0.4,0.851851852,0.487179487,0.25,1,0.455223881,0.365517241,0,0,0,4.65,4.65,19.55,19.55,0,2,0,0,"5'11""",185,0,0,3,0,0,0,0,0,0,0.1,0.089706639,0.364672365,-0.75,0,1,1
8/16/2018 0:00,Eddie Gordon,4,25,50,65,0,0,4,4,45,238,118,249,1,3,2,7,0,0,0.333333333,0.285714286,0.16,0.769230769,0,1,0.18907563,0.473895582,0,0,0,0.85,0.85,28.53,28.53,0,0,0,0,"6'0""",185,0,0,0,0,0,0,0,0,0,0.047619048,-0.284819952,-0.609230769,nan,0,0,0
8/16/2018 0:00,Louis Taylor,14,27,15,36,54,61,25,58,102,160,55,156,7,12,2,3,0,0,0.583333333,0.666666667,0.518518519,0.416666667,0.885245902,0.431034483,0.6375,0.352564103,2,0,2,17.95,17.95,11.79,11.79,0,2,0,0,"5'11""",185,0,0,7,0,0,0,0,51,0,-0.083333333,0.284935897,0.101851852,0.454211419,0,2,1
8/16/2018 0:00,Andre Lobato,14,30,22,29,9,14,56,63,64,150,103,162,1,3,10,12,0,0,0.333333333,0.833333333,0.466666667,0.75862069,0.642857143,0.888888889,0.426666667,0.635802469,0,0,0,11.91,11.91,12.83,12.83,0,0,0,0,5'11,185,0,0,0,0,0,0,0,0,0,-0.5,-0.209135802,-0.291954023,-0.246031746,0,0,0
8/16/2018 0:00,Shamil Gamzatov,50,70,15,35,4,4,0,0,125,277,57,269,1,6,1,2,0,0,0.166666667,0.5,0.714285714,0.428571429,1,0,0.451263538,0.211895911,0,0,0,0.9,0.9,28.48,28.48,0,0,0,0,"6'2""",185,0,0,6,0,0,0,0,0,0,-0.333333333,0.239367627,0.285714286,nan,0,2,1
8/16/2018 0:00,Rex Harris,26,40,31,51,5,6,3,6,63,186,102,218,3,6,0,2,0,0,0.5,0,0.65,0.607843137,0.833333333,0.5,0.338709677,0.467889908,0,0,0,2.69,2.69,21.51,21.51,0,1,0,0,"6'0""",185,0,0,3,0,0,0,0,0,0,0.5,-0.129180231,0.042156863,0.333333333,0,1,0
8/16/2018 0:00,Abus Magomedov,10,19,3,5,9,13,0,0,32,67,5,24,0,0,0,0,0,0,0,0,0.526315789,0.6,0.692307692,0,0.47761194,0.208333333,2,0,2,4.69,4.69,4.51,4.51,0,0,0,0,6'2,185,0,0,12,0,0,0,0,16,0,0,0.269278607,-0.073684211,nan,0,2,1
8/16/2018 0:00,Anderson Goncalves,14,33,6,16,19,50,6,8,43,130,45,85,1,1,0,5,0,0,1,0,0.424242424,0.375,0.38,0.75,0.330769231,0.529411765,0,2,-2,11.75,11.75,7.45,7.45,2,1,0,0,6'5,185,0,0,0,0,0,0,0,0,22.5,1,-0.198642534,0.049242424,-0.37,0,0,0
8/16/2018 0:00,John Howard,21,29,15,18,6,6,17,43,61,105,55,153,2,3,5,5,0,0,0.666666667,1,0.724137931,0.833333333,1,0.395348837,0.580952381,0.359477124,0,0,0,9.66,9.66,14.54,14.54,2,0,0,0,"5'7""",185,72,84,5,0,0,0,0,0,0,-0.333333333,0.221475257,-0.109195402,0.604651163,0,1,0
8/16/2018 0:00,Bruno Santos,20,25,11,36,58,82,4,11,96,167,41,113,6,10,0,0,0,0,0.6,0,0.8,0.305555556,0.707317073,0.363636364,0.574850299,0.362831858,0,0,0,9.88,9.88,19.86,19.86,2,1,0,0,"5'8""",185,0,0,6,0,0,0,0,0,0,nan,0.212018441,0.494444444,0.34368071,0,2,1
8/16/2018 0:00,Jake Shields,15,17,0,1,48,52,29,91,64,75,49,156,2,5,2,2,0,0,0.4,1,0.882352941,0,0.923076923,0.318681319,0.853333333,0.314102564,0,1,-1,17.01,17.01,8,8,3,1,0,0,"6'0""",170,0,0,3,0,0,0,0,0,49,-0.6,0.539230769,0.882352941,0.604395604,0,1,1
